name,category,address,lat,lon,url,img,img_2,audio,audio_2,audio_3,audio_4,audio_5,text
Foleshill Womens Training,Organisations,70-72 Elmsdale Ave CV6 6ES,52.4407044,-1.4953494,http://www.fwt.org.uk/about-fwt/,fwt1.JPG,fwt2.JPG,FWT_audio3.ogg,FWT2_audio3.mp4,,,,"‘Looking back we were probably 10 years too ambitious with what we were trying to do.’ 

FWT was set up in the late 1980s to address the disadvantage faced by socially excluded women through education, training and enterprise. It provided locally based women-led services in a women-centred environment. It emphasized the importance of supporting marginalized women to become active citizens in their communities, localities and wider society. In its history, FWT has faced many challenges - withdrawal of its funding by the city council in the late 1990s, the marginalization of women’s needs in policy agendas, the complex dynamics of exclusions based on racism, sexism, ‘culture’ and religion. It has also been presented with numerous opportunities to achieve its vision.  The drive, commitment, and strength of all the women involved over the years have ensured that FWT remains a valued part of the landscape of the city and a crucial home for women seeking to have a voice in the city.

‘While FWT acts as an important forum for education and training, it is also a space where women create networks of friendship and support… the reputation and good work of our organization is spread through word of mouth where women themselves become the spokespeople for FWT’ (Looking Back and Facing Forward, FWT Annual Report, 2000).

‘And then in the early 2000s, we applied for funding along with Sahil, which was another women’s organisation, the manager there and I put in a bid to set up the Mamta Project, which was about maternal healthcare. That was because there was research done that showed that infant mortality in our community was really high. So this was an intervention about levelling the playing field for the women. So that was a success and it's still going and it has now been taken over by the NHS Trust as a kind of mainstream project. I think they recognise that it was instrumental as a project in bringing the infant mortality rate in the community down’. 

‘We're still doing the work, still interested in refugees and migrants. Of course, FWT had a lot of focus on training the women, but then when you move into social enterprise you have to think okay you have this skill but how do you enter into the market? Because getting the women into the labour market was very difficult, there were of course many barriers, but the question was, how can we give them enough agency to start something for themselves to support their families with the skills they have brought into this country?’ 
"
"Nav Yug, Barr’s Hill School",Organisations," Radford Road, Radford, CV1 4BU",52.41537258,-1.516256616,https://www.barrshill.coventry.sch.uk/,,,NY_audio4.mp4,glasgowtrip_audio3.mp4,timestogether_audio2.mp3,,,"Nav Yug was set up to provide training for Asian women and located at Barr’s Hill school. It provided an important avenue especially for Muslim women to strengthen their skills, such as sewing, and begin new avenues of employment.  

‘At Barr’s Hill the two women who led that project were 100% committed to it, looking at the migrant issues through their eyes and looking at the issues around skills and employment of women. We had one small sewing group that Muslim women got trained in, we had keep fit and Giddah’.                                                   
Social gatherings were central to building confidence and social networks away from domestic responsibilities. These social scenes were zones for learning new skills and developing friendships and offered independent ways of being in public spaces together as women. Social spaces for enjoying festivities, with food and song, across different religions, were a vital element of most women’s projects and were organised by all the different organisations and sometimes together. These initiatives were both for and led by South Asian women across the generations. 

Trips and outings were regularly organised and a huge pull factor for women to leave their homes and create spaces of fun and laughter. Often workers had to talk to families so that they could develop trust in them as the facilitators of these social gatherings. Seaside trips and visits abroad required considerable organisation; the joviality of these outings is still remembered by participants today. They have become significant scenes in our biographies of making space for ourselves in the UK, beyond both the strictures of family life as well as the borders of racism."
Shanti Bhavan Ladies Group/Ekta-Unity Voluntary Organisation,Organisations,"St Paul's Churcvh, 346 Foleshill Rd, CV6 5AJ",52.42745944,-1.499375758,,ekta1.JPG,ekta2.JPG,SB_audio3.mp3,SB2_audio4.mp3,,,,"Arising from the physical and mental health needs of Asian women, an Asian women’s group was created and named by the women themselves as ‘Shanti Bhavan’ (Safe House). They initially met in different buildings that provided health services, before securing a regular weekly base in a small room at St Paul’s Church. Initially starting with 10-15 women, the group built up to over a hundred members, and has been recognised through numerous awards. It became a hub for alternative therapies, such as yoga, massage, knitting, crafts and relaxation sessions, as well as regular trips abroad and Singing for the Brain. All of these activities encouraged friendships and confidence. Over time the, the focus, funding opportunities and governance structures have changed from the original vision.

‘We managed to get seed funding initially and then other large funding grants over the years. To become a member with voting rights £5 contribution for the year which gave voting rights. The intention that any money £1 contribution each session would be put in a reserve a contingency and encourage ownership’. 

‘In 2001, the NHS South Asian mental health service practitioners successfully secured funding from the Single Regeneration Board (SRB), for the Asian Mental Health Access Project, with six project workers, identified with outreach, education and training, carers, young people and perinatal work’.

‘I ensured, alongside the chair, who incidentally, changed the name to Ekta, that the constitution stated that paid members were listened to, ensuring the management could not change anything without the vote of members’. "
Sahil Project– Cornerstone Family Centre,Organisations,446 Foleshill Road CV6 5AQ,52.43065508,-1.497848473,https://www.sahilproject.co.uk/,sahil1.JPG,sahil2.JPG,Sahil.mp3,,,,,"Sahil was set up as a community led Asian women’s counselling organisation to support the mental health and wellbeing of South Asian women in the city through support, advice and befriending services. It recognised that women in the community could be supporters and draw on their own experiences to form supportive connections with women.

Supported only for three years, it was Asian women community activists that ensured the project continued beyond this time. Sahil continues to be a source of advice and wellbeing support for many in the city and beyond.

‘We found that they were shutting it up after the three years. Back then when we would talk to the social services, it was always all about targets, there was no other way to measure goals. It was horrible, always talking in numbers, how many women have you gotten to use certain services, sort of labelling people. And we were trying to convince them that the need is still there’.   
"
Coventry Asian Women’s Network (CAWN) ,Organisations,city-wide network,52.41220485,-1.510456858,,,,,,,,,‘CAWN was a support network of Asian professional women in Coventry. There were many plans and discussions in the 1990s…to bring together women and have a more co-ordinated approach to work with Asian women to avoid duplication’.  
Panahghar ,Organisations, Address kept confidential,52.41220485,-1.510456858,https://www.safehouse.org.uk/,,,PN_audio2.mp4,,,,,"Domestic violence is better known and recognised today but in the 1980s and early 1990s, it was still largely seen as a ‘private’ issue. Specialist support services for South Asian women were developing nationally, as part of Black feminist activism challenging violence against women, but were still few. South Asian community leaders denied the existence of domestic violence in their communities and the problem remained largely hidden. In Coventry, the gap in help for South Asian women and children was recognised and the seeds sown for Panahghar in the late 1980s. The Panahghar refuge services provided, and continue to provide, an important lifeline to escape violence and abuse for women and their children.

 ‘The Haven project was already out there, and they wanted to do something, like a pilot project with Asian women. So I was appointed and I worked with the Haven and social services to set up the pilot. And then we got more funding. Around then was when I had the run-in with the [Asian] councillor, who was a very popular community leader, and he was knocking this project. He was blocking our application… … Women came to us through social services at the time, so if a woman had domestic violence they referred them on to us… what we did… it was all dependant on the context because in some cases you could really clearly see that the woman should not go back, but sometimes the women were traditional, or wanted to go back, and instead of bringing them out of the family and then leaving them out cold in a world they were not equipped to handle, we tried to talk to the families. But the other organisations did not like us for that.' 

‘We also used to do some work running groups at Frank Walsh House, which were women’s support groups … It was quite good, we used to have trips, we would go and talk to the families to let the women come on their own.’ 
"
,,,,,,,,,,,,,
Koco Community Resource Centre,Meeting Places,"15 Arches Industrial Estate, Spon End CV1 3JQ",52.4090987,-1.5304301,https://kococommunity.org.uk/,KOCO1.JPG,KOCO2.JPG,V_KOCO.mp3,,,,,"The KOCO building provided the space for training men and women under many different projects. The Coventry Cooperative Agency worked from here. They also provided the space for projects training the unemployed, and for anti-racism meetings in Coventry. Training for workers based in different organisations also took place here."
Frank Walsh House ,Meeting Places,"1B Leicester Causeway, CV1 4GU",52.41678167,-1.50564452,,FWALSH1.JPG,FWALSH2.JPG,P_FWHouse.mp3,,,,,"Frank Walsh House provided supported living to the elderly and was one of the first Asian sheltered living spaces in Coventry. They hosted the Asian Women's and Men's Groups a. The space has changed drastically over the years.  Panahghar held a lot of its support group meetings at Franks Walsh House. The women remember this spot fondly; they started their trip to Glasgow from this point (For more on this, see St Paul's Community Centre on the map). Location was also key to the importance of Frank Walsh House as a meeting place; it was close to temples, gurudwaras, and mosques, and thus served as a focal point for the community."
 St. Barnabus Church and Family Centre,Meeting Places,"8 Oliver Street, CV6 5FB",52.4232904,-1.492475187,,barnabus1.JPG,barnabus2.JPG,V_Barnabus.mp3,,,,,"The St. Barnabus Church and Family Centre served as one of the first Asian daycare centres. They held daycare activities for the elderly, and on Tuesdays, for elderly Asians. The centre provided space for group meetings, armchair exercises, personal care, and board games, helping community members build connections and stay active. The other side of the building also hosted youth groups and children's playgroups. Reflective of the surge, in the 1980s, in both national and social services support for community-based initiatives in the UK, this was a thriving centre at that time."
